"357";"Etats-Unis";"3062";"3364.7813950181"
"330";"Allemagne";"2969";"3214.54675221443"
"460";"Royaume-Uni";"2424";"2552.4214721173"
"351";"Japon";"2079";"2484.68402072787"
"373";"Canada";"1415";"1575.29389452934"
"715";"Autriche";"1110";"1427.62709666789"
"345";"France";"920";"799.389822348952"
"383";"Espagne";"899";"1259.95097781718"
"407";"Chine";"811";"1078.60739032924"
"414";"Norvège";"703";"769.732291936874"
"319";"Israël";"645";"664.346289664507"
"418";"Singapour";"606";"711.077979117632"
"553";"Belgique";"402";"420.516216799617"
"1501";"Australie";"397";"476.215511396527"
"510";"Corée";"374";"541.768548816442"
"424";"Brésil";"354";"430.853585973382"
"338";"Italie";"349";"338.500133484602"
"388";"Portugal";"297";"294.996822416782"
"615";"Russie";"272";"229.852939665318"
"396";"Suède";"240";"247.047404646873"
"492";"Inde";"235";"300.218325391412"
"1345";"Slovénie";"221";"232.344431310892"
"390";"Irlande";"218";"257.595525413752"
"505";"Pays-Bas";"204";"222.541576519608"
"458";"Suisse";"198";"211.735306590796"
"934";"Hongrie";"192";"246.950524032116"
"451";"Danemark";"190";"186.439234972"
"368";"République";"187";"188.94966250658"
"2011";"Amérique";"186";"268.987592577934"
"398";"Slovaquie";"173";"176.453562915325"
"564";"Pologne";"157";"144.385157704353"
"512";"Taiwan";"155";"159.750012904406"
"575";"Roumanie";"131";"109.867059960961"
"601";"Afrique";"116";"120.192024499178"
"436";"Lettonie";"52";"57.5379017740488"
"1788";"Turquie";"34";"48.1110894083977"
"2163";"Finlande";"28";"39.5113195180893"
"1386";"Pérou";"21";"19.0104477107525"
"527";"Argentine";"18";"18.8241284191608"
"4418";"Mexique";"6";"9.00008773803711"
"4396";"Hong";"6";"4.05193132162094"
