id_tag;tag;desc;poids;nbDoc
403;Technologies de l'information et de la communication;domaine;840;835
358;Sciences et technologies de l'information et de la communication;domaine;700;665
357;Etats-Unis;pays;665;629
460;Royaume-Uni;pays;460;457
383;Espagne;pays;200;200
321;Rédacteurs;;188;188
715;Autriche;pays;180;180
695;Technologie de l'information et de la communication;domaine;176;176
373;Canada;pays;145;145
4119;Télécommunications - Autoroutes de l'information;domaine;139;139
407;Chine;pays;94;94
351;Japon;pays;93;93
2622;Sciences et Technologies de l'information et communication;domaine;84;84
414;Norvège;pays;82;82
330;Allemagne;pays;41;41
662;Techniques de l'information et de la communication;domaine;37;37
1501;Australie;pays;28;26
390;Irlande;pays;25;19
319;Israël;pays;15;15
3557;Technologies de l'information - Communications;domaine;15;15
817;Technologies de l'Information et des Communications;domaine;10;15
492;Inde;pays;10;10
3675;Sciences et technologies de l'information et de la télécommunication;domaine;10;10
2848;Technologies de la communication et de l'information;domaine;9;9
1345;Slovénie;pays;8;8
1879;Sciences de l'information et de la communication;domaine;10;8
424;Brésil;pays;8;8
505;Pays-Bas;pays;7;7
4133;Technologies de l'Information et de la Communications;domaine;6;6
510;Corée;pays;6;6
338;Italie;pays;5;5
2011;Amérique;pays;5;5
1549;Technolgies de l'information et de la communication;domaine;4;4
398;Slovaquie;pays;4;4
2932;Science et technologie de l'information et de la communication;domaine;4;4
388;Portugal;pays;6;4
2915;TIC, Technologies de l'Information et de la Communication;domaine;4;4
4269;Télécommunications - Autoroute de l'information;domaine;4;4
1753;Technologie de l'information et des communications;domaine;10;4
1562;Technologies de l'Information et de la Communication (TIC);domaine;4;4
4471;Arts;domaine;0;3
372;nanotechnologies;domaine;0;3
418;Singapour;pays;3;3
337;Informatique;domaine;0;3
1136;Informatique et technologies de l'information et des télécommunications;domaine;3;3
4465;Technologies de l'Information et des Télécommunications;domaine;0;3
512;Taiwan;pays;3;3
1166;Technologies de l'informations & de la communication;domaine;2;2
1839;Technologie de l'Information et des Télécommunications;domaine;2;2
1397;Télécom;domaine;0;2
451;Danemark;pays;2;2
2406;Technologies de l'information & de la communication;domaine;2;2
3229;Télécommunications et technologies de l'information;domaine;2;2
2831;Nouvelles technologies de l'information et la communication;domaine;1;1
2163;Finlande;pays;1;1
3067;Informations - Communication;domaine;1;1
2623;Technologie de l'information et communication;domaine;1;1
3707;Technologie de l'information et de la communication.;domaine;1;1
1525;Nouvelles technologies de l'information et de la communication;domaine;1;1
2090;Sciences et Technologie de l'Information et de la Communication;domaine;1;1
1792;Nouvelles technologies de l'information et de la télécommunication;domaine;1;1
1133;Techniques de l'Informations et de la Communication;domaine;1;1
2551;Science et technologies de l'information et de la communication;domaine;1;1
1906;Sciences et Technologies de l'Information et des Télécommunications;domaine;2;1
