EVENEMENTS_IEML,EVENEMENTS,ACTEURS,LIENS_ACTEURS_ACTEURS,LIENS_ACTEURS_CONCEPTS,LIEUX,CONCEPTS,REFERENCES
,baccalauréat,Dutrochet (Henri),a écrit à,a inventé,Lycée Charlemagne,amibes,livre
,séjour,de Vries (Hugo),a parlé à,a popularisé,Institution Briand,anatomie,périodique
,embauche,Nägeli (Carl),a rencontré,,Collège Sainte-Barbe,bacille,citation
,emménagement,Alcide d'Orbigny,est en controverse avec,,Ecole préparatoire ENS,biochimie,image
,doctorat,Bichat,est de la famille de,,Archives nationales,biologie,film
,voyage,Büchner,est ami de,,Sorbonne,botanique,audio
,décès,Buffon,est marié à,,,cellulaire,diplôme
,naissance,Burdach,est lié à,,,cellule,formule
u.wo.-,publier,Charles Naudin,a influencé,,,chimie,
wa.d.-,observer,Claude Bernard,est influencé par,,,choléra,
,,Cuvier,,,,chromosome,
,,"Cuvier,Geoffroy Saint-Hilaire ",,,,comparée,
,,D'Arcy Thompson,,,,contagion,
,,Darwin,,,,critique,
,,Diderot,,,,cytologie,
,,edward Forbes,,,,darwinisme,
,,Ehrenberg,,,,embryogenèse,
,,Farr (William),,,,embryogénèse,
,,Fodera,,,,embryologie,
,,Friedrich Wöller,,,,épigénèse,
,,Galton,,,,espèces,
,,Gautier (Emile),,,,évolutionnisme,
,,Geoffroy Saint-Hilaire ,,,,fermentation,
,,Haeckel,,,,fossiles,
,,Hogg (John),,,,génération,
,,Huxley,,,,génétique,
,,HV Von Waldeyer,,,,germen,
,,Jenner,,,,germinatif,
,,Koch,,,,Haeckel,
,,Koelreuter,,,,hérédité,
,,Lacépède,,,,hybridation,
,,Lamarck,,,,innoculation,
,,Lehmann (Karl Gotthelf 1812-1863),,,,Koch,
,,Liebig,,,,marine,
,,Linné,,,,mécanisme,
,,Lucas (prosper),,,,microbe,
,,Maupertuis,,,,microbes,
,,Morgan,,,,microbiologie,
,,Pasteur,,,,Mitose,
,,Pouchet,,,,mutation,
,,Salles (isidore),,,,noyau,
,,Schleiden,,,,organique,
,,Schwann,,,,osmose,
,,Sédillot,,,,ovule,
,,Spallanzani Needham,,,,paléontologie,
,,Strasburger,,,,phytogenèse,
,,Treviranus,,,,plante,
,,Vacher de Lapouges,,,,plasma,
,,Van Beneden (Edouard),,,,protoctistes,
,,Virschow,,,,protozoaires,
,,Von Baer,,,,quatrième,
,,Von Haller,,,,règne,
,,Von Mohl,,,,satire,
,,Weismann (Auguste),,,,social,
,,Wilhelm Roux,,,,soma,
,,Wolff,,,,spontanée,
,,,,,,synthèse,
,,,,,,théorie,
,,,,,,tuberculose,
,,,,,,vaccin,
,,,,,,végétale,
,,,,,,vibrion,
,,,,,,vulgarisation,
,,,,,,contagion ,
,,,,,,génération spontanée microbiologie,
,,,,,,évolutionnisme,
,,,,,,évolutionnisme,
,,,,,,Koch tuberculose,
,,,,,,évolutionnisme,
,,,,,,biologie,
,,,,,,hérédité,
,,,,,,biologie,
,,,,,,biologie,
,,,,,,biologie,
,,,,,,biologie,
,,,,,,,
,,,,,,biologie,
,,,,,,,
,,,,,,génétique chromosome ,
,,,,,,darwinisme social critique Haeckel,
,,,,,,darwinisme social,
,,,,,,darwinisme social,
,,,,,,darwinisme social,
,,,,,,hérédité plasma  germinatif,
,,,,,,hérédité soma germen,
,,,,,,biologie marine,
,,,,,,protoctistes  protozoaires quatrième règne,
,,,,,,Mitose cytologie embryologie végétale,
