Dimensions communes,Nb d’éléments communs,Nb d’éléments total,% commun
physique  ,1,9,"11,11"
acteur  ,1,8,"12,50"
physique ET acteur  (p+a),1,17,"5,88"
concept  ,3,17,"17,65"
physique ET concept  (p+c),4,26,"15,38"
acteur ET concept  (a+c),4,25,"16,00"
physique ET acteur ET concept (p+a+c),5,34,"14,71"
rapport  ,1,14,"7,14"
physique ET rapport  (p+r),1,23,"4,35"
acteur ET rapport  (a+r),1,22,"4,55"
physique ET acteur ET rapport (p+a+r),1,31,"3,23"
concept ET rapport  (c+r),1,31,"3,23"
physique ET concept ET rapport (p+c+r),1,40,"2,50"
acteur ET concept ET rapport (a+c+r),1,39,"2,56"
physique ET acteur ET concept ET rapport (p+a+c+r),1,48,"2,08"
TOTAL,27,384,"100,00"
